team,salary,player,position,season
Washington Wizards,3695857,Nick Young, G,2011-2012
Minnesota Timberwolves,3680000,Luke Ridnour, PG,2011-2012
San Antonio Spurs,3630000,Matt Bonner, C,2011-2012
Phoenix Suns,3500000,Shannon Brown, PG,2011-2012
Milwaukee Bucks,3500000,Shaun Livingston, PG,2011-2012
Minnesota Timberwolves,3480120,Ricky Rubio, PG,2011-2012
Utah Jazz,3480000,Raja Bell, SG,2011-2012
Portland Trail Blazers,3414720,Jonny Flynn, PG,2011-2012
Chicago Bulls,3400000,C.J. Watson, PG,2011-2012
New Orleans Hornets,3377604,Marco Belinelli, G,2011-2012
Toronto Raptors,3344250,DeMar DeRozan, SG,2011-2012
Denver Nuggets,3343896,Timofey Mozgov, C,2011-2012
Oklahoma City Thunder,3341558,Daequan Cook, SG,2011-2012
Oklahoma City Thunder,3300000,Thabo Sefolosha, SF,2011-2012
Milwaukee Bucks,3294960,Ekpe Udoh, C,2011-2012
Oklahoma City Thunder,3272997,Nick Collison, F,2011-2012
Orlando Magic,3250000,Chris Duhon, PG,2011-2012
New Jersey Nets,3250000,Johan Petro, C,2011-2012
Charlotte Bobcats,3236470,D.J. Augustin, PG,2011-2012
Memphis Grizzlies,3150000,Tony Allen, SG,2011-2012
New Jersey Nets,3135000,Shawne Williams, SF,2011-2012
Miami Heat,3135000,Shane Battier, SF,2011-2012
Golden State Warriors,3117120,Stephen Curry, PG,2011-2012
New Jersey Nets,3076983,Brook Lopez, C,2011-2012
Washington Wizards,3065040,Jan Vesely, PF,2011-2012
Denver Nuggets,3059000,Corey Brewer, F,2011-2012
Toronto Raptors,3042280,Jerryd Bayless, PG,2011-2012
Detroit Pistons,3007920,Greg Monroe, C,2011-2012
Sacramento Kings,3001284,Jason Thompson, PF,2011-2012
Sacramento Kings,3.00E+06,Travis Outlaw, SF,2011-2012
Los Angeles Lakers,3.00E+06,Josh McRoberts, PF,2011-2012
Dallas Mavericks,3.00E+06,Vince Carter, SF,2011-2012
Golden State Warriors,2956658,Brandon Rush, SG,2011-2012
Minnesota Timberwolves,2911231,Anthony Randolph, SF,2011-2012
Phoenix Suns,2862602,Robin Lopez, C,2011-2012
Toronto Raptors,2858057,Julian Wright, SF,2011-2012
Los Angeles Lakers,2855760,Jordan Hill, C,2011-2012
Minnesota Timberwolves,2840000,Mark Madsen, PF,2011-2012
Toronto Raptors,2812006,James Johnson, PF,2011-2012
Charlotte Bobcats,2798040,Bismack Biyombo, C,2011-2012
Indiana Pacers,2763450,Lou Amundson, PF,2011-2012
New Orleans Hornets,2755560,Al-Farouq Aminu, PF,2011-2012
Charlotte Bobcats,2750000,Eduardo Najera, PF,2011-2012
Memphis Grizzlies,2721255,Marreese Speights, F,2011-2012
Utah Jazz,2709720,Gordon Hayward, SF,2011-2012
Indiana Pacers,2700000,Dahntay Jones, SG,2011-2012
Fenerbahce Ulker Fenerbahce Ulker,2685185,David Andersen, C,2011-2012
Philadelphia 76ers,2674852,Jrue Holiday, PG,2011-2012
Indiana Pacers,2588590,Roy Hibbert, C,2011-2012
Detroit Pistons,2563320,Brandon Knight, PG,2011-2012
Milwaukee Bucks,2541000,Ersan Ilyasova, PF,2011-2012
New Orleans Hornets,2500000,Jason Smith, PF,2011-2012
LA Clippers,2500000,Kenyon Martin, PF,2011-2012
New Jersey Nets,2500000,DeShawn Stevenson, SG,2011-2012
Milwaukee Bucks,2493720,Brandon Jennings, G,2011-2012
Washington Wizards,2462400,JaVale McGee, C,2011-2012
Orlando Magic,2446200,Quentin Richardson, SF,2011-2012
Indiana Pacers,2406240,Paul George, SF,2011-2012
LA Clippers,2400000,Ricky Davis, SG,2011-2012
Charlotte Bobcats,2356320,Kemba Walker, PG,2011-2012
Sacramento Kings,2354537,JJ Hickson, C,2011-2012
Sacramento Kings,2339040,Jimmer Fredette, G,2011-2012
New York Knicks,2338709,JR Smith, SG,2011-2012
Oklahoma City Thunder,2329545,Derek Fisher, PG,2011-2012
Oklahoma City Thunder,2286000,Cole Aldrich, C,2011-2012
Charlotte Bobcats,2250600,Gerald Henderson, SG,2011-2012
Cleveland Cavaliers,2250000,Anthony Parker, SG,2011-2012
Boston Celtics,2246400,Keyon Dooling, PG,2011-2012
Detroit Pistons,2246400,Ben Wallace, PF,2011-2012
Orlando Magic,2244601,Ryan Anderson, PF,2011-2012
Houston Rockets,2225093,Courtney Lee, SG,2011-2012
Toronto Raptors,2207040,Ed Davis, PF,2011-2012
Denver Nuggets,2203792,Kosta Koufos, C,2011-2012
Denver Nuggets,2180443,Rudy Fernandez, SG,2011-2012
New Orleans Hornets,2171640,Xavier Henry, SG,2011-2012
Portland Trail Blazers,2155365,Nicolas Batum, SF,2011-2012
Utah Jazz,2150000,Josh Howard, SF,2011-2012
Indiana Pacers,2138040,Tyler Hansbrough, PF,2011-2012
Golden State Warriors,2126520,Klay Thompson, SG,2011-2012
Utah Jazz,2111160,Alec Burks, SG,2011-2012
Houston Rockets,2108000,Goran Dragic, PG,2011-2012
Orlando Magic,2062800,Anthony Johnson, PG,2011-2012
Houston Rockets,2062800,Brent Barry, SG,2011-2012
Minnesota Timberwolves,2050000,Anthony Tolliver, PF,2011-2012
Phoenix Suns,2027119,Darrell Arthur, F,2011-2012
Minnesota Timberwolves,2016692,Aaron Brooks, G,2011-2012
Phoenix Suns,2005560,Markieff Morris, PF,2011-2012
Charlotte Bobcats,2001167,D.J. White, PF,2011-2012
LA Clippers,2000032,Chauncey Billups, PG,2011-2012
Memphis Grizzlies,2.00E+06,Dante Cunningham, SF,2011-2012
Utah Jazz,2.00E+06,Earl Watson, PG,2011-2012
Toronto Raptors,1990000,Rasho Nesterovic, C,2011-2012
Houston Rockets,1959960,Patrick Patterson, PF,2011-2012
Detroit Pistons,1929600,Austin Daye, SF,2011-2012
Los Angeles Lakers,1906200,Matt Barnes, SF,2011-2012
Portland Trail Blazers,1892280,Luke Babbitt, F,2011-2012
Milwaukee Bucks,1861920,Larry Sanders, PF,2011-2012
Chicago Bulls,1857500,Omer Asik, C,2011-2012
Houston Rockets,1823280,Dikembe Mutombo, C,2011-2012
Houston Rockets,1823280,Marcus Morris, PF,2011-2012
San Antonio Spurs,1809840,Kawhi Leonard, SF,2011-2012
New Jersey Nets,1728000,Keith Bogans, SG,2011-2012
Philadelphia 76ers,1719480,Nikola Vucevic, C,2011-2012
Washington Wizards,1680360,Kevin Seraphin, C,2011-2012
Sacramento Kings,1679914,Donte Greene, SF,2011-2012
New York Knicks,1675000,Renaldo Balkman, SF,2011-2012
Denver Nuggets,1654440,Ty Lawson, G,2011-2012
LA Clippers,1596360,Eric Bledsoe, PG,2011-2012
Atlanta Hawks,1579920,Jeff Teague, PG,2011-2012
Phoenix Suns,1567500,Sebastian Telfair, PG,2011-2012
New Orleans Hornets,1567500,Gustavo Ayon, PF,2011-2012
New York Knicks,1563120,Iman Shumpert, SG,2011-2012
Indiana Pacers,1540493,George Hill, PG,2011-2012
Boston Celtics,1524480,Avery Bradley, SG,2011-2012
Oklahoma City Thunder,1516680,Eric Maynor, PG,2011-2012
Miami Heat,1500000,Greg Oden, C,2011-2012
Toronto Raptors,1500000,Gary Forbes, F,2011-2012
Miami Heat,1500000,James Jones, SG,2011-2012
Washington Wizards,1485000,Chris Singleton, SF,2011-2012
LA Clippers,1467840,Alexis Ajinca, C,2011-2012
Indiana Pacers,1455960,Darren Collison, PG,2011-2012
Portland Trail Blazers,1442880,Elliot Williams, SG,2011-2012
Milwaukee Bucks,1418160,Tobias Harris, SF,2011-2012
Philadelphia 76ers,1404960,Craig Brackins, PF,2011-2012
San Antonio Spurs,1402540,James Anderson, SG,2011-2012
Miami Heat,1399507,Eddie House, SG,2011-2012
Miami Heat,1399507,Zydrunas Ilgauskas, C,2011-2012
Portland Trail Blazers,1365720,Nolan Smith, PG,2011-2012
Portland Trail Blazers,1352181,Kurt Thomas, PF,2011-2012
Utah Jazz,1352181,Jamaal Tinsley, PG,2011-2012
Boston Celtics,1352181,Shaquille O'Neal, C,2011-2012
Milwaukee Bucks,1350000,Roko-Leni Ukic, PG,2011-2012
Cleveland Cavaliers,1341960,Omri Casspi, SF,2011-2012
Memphis Grizzlies,1300000,Hamed Haddadi, C,2011-2012
Washington Wizards,1294920,Trevor Booker, F,2011-2012
Oklahoma City Thunder,1288200,Serge Ibaka, PF,2011-2012
Charlotte Bobcats,1288200,Byron Mullens, C,2011-2012
Denver Nuggets,1254720,Kenneth Faried, PF,2011-2012
New Jersey Nets,1243080,Damion James, SF,2011-2012
Dallas Mavericks,1236720,Rodrigue Beaubois, PG,2011-2012
Washington Wizards,1223166,Brian Cook, PF,2011-2012
Oklahoma City Thunder,1200000,Royal Ivey, PG,2011-2012
Chicago Bulls,1195680,Taj Gibson, PF,2011-2012
Dallas Mavericks,1193280,Dominique Jones, SG,2011-2012
Memphis Grizzlies,1184750,Sam Young, SF,2011-2012
Orlando Magic,1160000,Earl Clark, SF,2011-2012
Oklahoma City Thunder,1156320,Reggie Jackson, PG,2011-2012
Minnesota Timberwolves,1154040,Wayne Ellington, SG,2011-2012
Memphis Grizzlies,1153800,Quincy Pondexter, SF,2011-2012
New York Knicks,1145640,Toney Douglas, PG,2011-2012
Denver Nuggets,1121520,Jordan Hamilton, SG,2011-2012
Washington Wizards,1120440,Jordan Crawford, G,2011-2012
New Orleans Hornets,1113600,Greivis Vasquez, PG,2011-2012
Milwaukee Bucks,1106941,Stephen Graham, SF,2011-2012
Cleveland Cavaliers,1106941,Joey Graham, SF,2011-2012
Orlando Magic,1105560,Daniel Orton, C,2011-2012
Los Angeles Lakers,1097520,Christian Eyenga, SF,2011-2012
Oklahoma City Thunder,1097520,Lazar Hayward, SF,2011-2012
Miami Heat,1082520,Norris Cole, PG,2011-2012
San Antonio Spurs,1074720,Cory Joseph, PG,2011-2012
Minnesota Timberwolves,1071720,Alando Tucker, SF,2011-2012
Orlando Magic,1069509,Von Wafer, SG,2011-2012
New Jersey Nets,1063865,MarShon Brooks, SG,2011-2012
San Antonio Spurs,1059750,Stephen Jackson, SF,2011-2012
San Antonio Spurs,1054000,DeJuan Blair, C,2011-2012
Boston Celtics,1042320,JaJuan Johnson, PF,2011-2012
Brooklyn Nets,1033342,Quinton Ross, SF,2011-2012
Cleveland Cavaliers,1029389,Jawad Williams, SF,2011-2012
Golden State Warriors,1027424,Earl Barron, C,2011-2012
Chicago Bulls,1020960,Jimmy Butler, SG,2011-2012
Memphis Grizzlies,1.00E+06,Jeremy Pargo, PG,2011-2012
Milwaukee Bucks,1.00E+06,Jon Brockman, PF,2011-2012
Denver Nuggets,992680,Shavlik Randolph, PF,2011-2012
Dallas Mavericks,915852,Ian Mahinmi, C,2011-2012
Chicago Bulls,915852,John Lucas III, PG,2011-2012
Dallas Mavericks,915852,Brandan Wright, F,2011-2012
New York Knicks,885120,Henry Walker, SF,2011-2012
Utah Jazz,885120,DeMarre Carroll, SF,2011-2012
Denver Nuggets,885120,Pops Mensah-Bonsu, PF,2011-2012
Atlanta Hawks,884881,Salim Stoudamire, SG,2011-2012
New Orleans Pelicans,884293,Patrick Ewing Jr., SF,2011-2012
Chicago Bulls,855189,Anthony Roberson, SG,2011-2012
New York Knicks,855189,Mouhamed Sene, C,2011-2012
Sacramento Kings,855189,Quincy Douby, SG,2011-2012
Golden State Warriors,855189,Tarence Kinsey, SG,2011-2012
Philadelphia 76ers,854389,Francisco Elson, C,2011-2012
New Orleans Hornets,854389,Trey Johnson, SG,2011-2012
Miami Heat,854389,Luke Jackson, SF,2011-2012
San Antonio Spurs,854389,Derrick Byars, SF,2011-2012
Memphis Grizzlies,854389,Kyle Weaver, SG,2011-2012
Atlanta Hawks,854389,Jannero Pargo, PG,2011-2012
Memphis Grizzlies,854389,Darius Miles, SF,2011-2012
Washington Wizards,854389,Javaris Crittenton, PG,2011-2012
Golden State Warriors,854389,Joe Alexander, SF,2011-2012
San Antonio Spurs,854389,Gary Neal, PG,2011-2012
Houston Rockets,850000,Chandler Parsons, SF,2011-2012
Toronto Raptors,830000,Solomon Alabi, C,2011-2012
Phoenix Suns,826828,Michael Redd, SG,2011-2012
Sacramento Kings,825497,Desmond Mason, SF,2011-2012
Washington Wizards,825497,Paul Davis, C,2011-2012
New Orleans Pelicans,825497,Jason Hart, PG,2011-2012
Golden State Warriors,825497,Jermareo Davidson, PF,2011-2012
Oklahoma City Thunder,825497,Kevin Ollie, PG,2011-2012
Oklahoma City Thunder,825497,Ryan Bowen, SF,2011-2012
Boston Celtics,825497,Gabe Pruitt, PG,2011-2012
Indiana Pacers,810000,Lance Stephenson, SG,2011-2012
Sacramento Kings,809875,Tyler Honeycutt, SF,2011-2012
Cleveland Cavaliers,804131,Chris Quinn, PG,2011-2012
Portland Trail Blazers,799105,Sean Marks, PF,2011-2012
San Antonio Spurs,792377,Ike Diogu, PF,2011-2012
LA Clippers,792377,Solomon Jones, PF,2011-2012
Milan Olimpia,788872,Gani Lawal, PF,2011-2012
null Unknown,788872,Da'Sean Butler, NA,2011-2012
San Antonio Spurs,788872,Marcus Cousin, C,2011-2012
Toronto Raptors,788872,Andy Rautins, SG,2011-2012
Phoenix Suns,788872,Zabian Dowdell, PG,2011-2012
Perth Perth,788872,Terrico White, G,2011-2012
Atlanta Hawks,788872,Pape Sy, SF,2011-2012
null Unknown,788872,Magnum Rolle, NA,2011-2012
Golden State Warriors,785487,Nate Robinson, PG,2011-2012
Cleveland Cavaliers,780871,Jermaine Taylor, SG,2011-2012
Dallas Mavericks,771706,Yi Jianlian, SF,2011-2012
Washington Wizards,762195,Hamady Ndiaye, C,2011-2012
null Unknown,762195,Kenny Hasbrouck, NA,2011-2012
Memphis Grizzlies,762195,Tony Gaffney, SF,2011-2012
Boston Celtics,762195,Greg Stiemsma, C,2011-2012
Utah Jazz,762195,Brian Butch, C,2011-2012
Flamengo Flamengo,762195,Derrick Caracter, PF,2011-2012
Cleveland Cavaliers,762195,Samardo Samuels, PF,2011-2012
Cleveland Cavaliers,762195,Semih Erden, C,2011-2012
Miami Heat,762195,Dexter Pittman, C,2011-2012
New York Knicks,736420,Joe Crawford, SG,2011-2012
LA Clippers,736420,Mike Taylor, PG,2011-2012
Detroit Pistons,736420,Walter Sharpe, PF,2011-2012
Chicago Bulls,736420,DeMarcus Nelson, SG,2011-2012
Charlotte Hornets,736420,Dontell Jefferson, SG,2011-2012
Madrid Real Madrid,736420,Othello Hunter, SF,2011-2012
San Antonio Spurs,708640,Ime Udoka, SG,2011-2012
Oklahoma City Thunder,679821,Mike Wilks, PG,2011-2012
Memphis Grizzlies,668434,Brian Skinner, PF,2011-2012
Philadelphia 76ers,650686,Allen Iverson, SG,2011-2012
Golden State Warriors,650000,Jeremy Tyler, C,2011-2012
Golden State Warriors,633253,Acie Law, PG,2011-2012
Memphis Grizzlies,550000,Josh Selby, PG,2011-2012
LA Clippers,535000,Trey Thompkins, PF,2011-2012
Atlanta Hawks,530547,Erick Dampier, C,2011-2012
Orlando Magic,524964,Jason Williams, PG,2011-2012
Orlando Magic,522472,Ish Smith, PG,2011-2012
LA Clippers,5.00E+05,Travis Leslie, PG,2011-2012
Minnesota Timberwolves,5.00E+05,Malcolm Lee, SG,2011-2012
Oklahoma City Thunder,475000,Ryan Reid, PF,2011-2012
Sacramento Kings,473604,Pooh Jeter, PG,2011-2012
Golden State Warriors,473604,Charles Jenkins, PG,2011-2012
Washington Wizards,473604,Shelvin Mack, PG,2011-2012
Philadelphia 76ers,473604,Lavoy Allen, F,2011-2012
New York Knicks,473604,Josh Harrellson, C,2011-2012
Charlotte Bobcats,473604,Cory Higgins, PG,2011-2012
Charlotte Hornets,473604,Sherron Collins, PG,2011-2012
Golden State Warriors,473604,Chris Wright, SF,2011-2012
Milwaukee Bucks,473604,Jon Leuer, PF,2011-2012
New Orleans Hornets,473604,Carldell Johnson, PG,2011-2012
Milwaukee Bucks,457588,Marcus Landry, SF,2011-2012
Utah Jazz,457588,Trey Gilder, SF,2011-2012
null Unknown,457588,Deron Washington, NA,2011-2012
Indiana Pacers,435000,Kyrylo Fesenko, C,2011-2012
Portland Trail Blazers,420304,Joel Przybilla, C,2011-2012
New Jersey Nets,413413,Gerald Green, SG,2011-2012
Dallas Mavericks,402065,Peja Stojakovic, SF,2011-2012
Detroit Pistons,374300,Walker Russell, PG,2011-2012
Washington Wizards,319128,Ronny Turiaf, C,2011-2012
New Orleans Hornets,305551,Lance Thomas, SF,2011-2012
Dallas Mavericks,280192,Kelenna Azubuike, SF,2011-2012
Memphis Grizzlies,261829,Gilbert Arenas, PG,2011-2012
Sacramento Kings,254938,Terrence Williams, SG,2011-2012
Cleveland Cavaliers,252016,Manny Harris, PG,2011-2012
Cleveland Cavaliers,248048,Ryan Hollins, C,2011-2012
Charlotte Bobcats,241158,Boris Diaw, C,2011-2012
LA Clippers,234268,Bobby Simmons, SF,2011-2012
Oklahoma City Thunder,226162,Mustafa Shakur, PG,2011-2012
Houston Rockets,220487,Earl Boykins, PG,2011-2012
Chicago Bulls,220487,Mike James, PG,2011-2012
Toronto Raptors,213597,Alan Anderson, SG,2011-2012
San Antonio Spurs,213517,Patty Mills, PG,2011-2012
Golden State Warriors,211084,Al Thornton, SF,2011-2012
Portland Trail Blazers,208802,Travis Diener, PG,2011-2012
Memphis Grizzlies,201033,Leon Powe, PF,2011-2012
Washington Wizards,199816,Cartier Martin, PF,2011-2012
Boston Celtics,196007,Carlos Arroyo, PG,2011-2012
Toronto Raptors,190548,Ben Uzoh, PG,2011-2012
Cleveland Cavaliers,160414,Donald Sloan, G,2011-2012
LA Clippers,156595,Courtney Fortson, PG,2011-2012
Washington Wizards,151585,James Singleton, F,2011-2012
Miami Heat,137498,Mickell Gladness, C,2011-2012
Utah Jazz,117134,Blake Ahearn, G,2011-2012
Portland Trail Blazers,104494,Armon Johnson, PG,2011-2012
Charlotte Bobcats,96017,Jamario Moon, SF,2011-2012
Memphis Grizzlies,80703,Garrett Temple, SG,2011-2012
Washington Wizards,75793,Morris Almond, SG,2011-2012
Golden State Warriors,75793,Mikki Moore, C,2011-2012
New York Knicks,69393,Dan Gadzuric, C,2011-2012
New Orleans Hornets,64930,Jerome Dyson, PG,2011-2012
Houston Rockets,57291,Diamon Simpson, SF,2011-2012
New Orleans Hornets,55321,Darryl Watkins, C,2011-2012
Dallas Mavericks,49966,Sean Williams, PF,2011-2012
Memphis Grizzlies,48232,Lester Hudson, SG,2011-2012
Cleveland Cavaliers,40375,Cedric Jackson, G,2011-2012
New Orleans Hornets,38194,Jeff Foote, C,2011-2012
Minnesota Timberwolves,35868,Othyus Jeffers, SG,2011-2012
Cleveland Cavaliers,22916,D.J. Kennedy, SG,2011-2012
New Jersey Nets,22287,Larry Owens, SF,2011-2012
Brooklyn Nets,20103,Mario West, SG,2011-2012
Philadelphia 76ers,11458,Xavier Silas, G,2011-2012
Los Angeles Lakers,30453805,Kobe Bryant, SF,2012-2013
LA Clippers,18668431,Chris Paul, PG,2012-2013
Oklahoma City Thunder,17832626,Kevin Durant, SF,2012-2013
Chicago Bulls,17632688,Derrick Rose, PG,2012-2013
Brooklyn Nets,17177795,Deron Williams, PG,2012-2013
Philadelphia 76ers,16889000,Andrew Bynum, C,2012-2013
Boston Celtics,16790345,Paul Pierce, SF,2012-2013
Memphis Grizzlies,16500000,Zach Randolph, PF,2012-2013
Memphis Grizzlies,16460538,Rudy Gay, SF,2012-2013
Chicago Bulls,15300000,Carlos Boozer, PF,2012-2013
Denver Nuggets,14968250,Andre Iguodala, SG,2012-2013
Dallas Mavericks,20907128,Dirk Nowitzki, PF,2012-2013
Oklahoma City Thunder,14693906,Russell Westbrook, PG,2012-2013
Washington Wizards,14487500,Emeka Okafor, C,2012-2013
Chicago Bulls,14275000,Luol Deng, SF,2012-2013
San Antonio Spurs,14107492,Manu Ginobili, G,2012-2013
Memphis Grizzlies,13891359,Marc Gasol, C,2012-2013
LA Clippers,13701250,Blake Griffin, PF,2012-2013
Brooklyn Nets,13668750,Brook Lopez, C,2012-2013
Minnesota Timberwolves,13668750,Kevin Love, PF,2012-2013
New York Knicks,13604188,Tyson Chandler, C,2012-2013
Portland Trail Blazers,13500000,LaMarcus Aldridge, PF,2012-2013
New York Knicks,19948799,Amar'e Stoudemire, C,2012-2013
Utah Jazz,13500000,Al Jefferson, C,2012-2013
Charlotte Bobcats,13200000,Ben Gordon, SG,2012-2013
Atlanta Hawks,13200000,Josh Smith, PF,2012-2013
Indiana Pacers,13058606,Danny Granger, SF,2012-2013
Golden State Warriors,1.30E+07,Andrew Bogut, C,2012-2013
Washington Wizards,1.30E+07,Nene Hilario, C,2012-2013
Golden State Warriors,12744000,David Lee, PF,2012-2013
San Antonio Spurs,12500000,Tony Parker, PG,2012-2013
Oklahoma City Thunder,12439675,Kevin Martin, SG,2012-2013
Oklahoma City Thunder,12350000,Serge Ibaka, PF,2012-2013
Brooklyn Nets,19752645,Joe Johnson, G,2012-2013
Brooklyn Nets,1.20E+07,Kris Humphries, PF,2012-2013
New York Knicks,19444503,Carmelo Anthony, PF,2012-2013
Los Angeles Lakers,19285850,Pau Gasol, C,2012-2013
Miami Heat,19067500,Chris Bosh, PF,2012-2013
Miami Heat,19067500,LeBron James, SF,2012-2013
Miami Heat,18673000,Dwyane Wade, SG,2012-2013
Atlanta Hawks,1.20E+07,Al Horford, C,2012-2013
Boston Celtics,11566265,Kevin Garnett, PF,2012-2013
Chicago Bulls,11100000,Joakim Noah, C,2012-2013
Toronto Raptors,11046591,Jose Calderon, PG,2012-2013
Boston Celtics,1.10E+07,Rajon Rondo, PG,2012-2013
Milwaukee Bucks,1.10E+07,Monta Ellis, SG,2012-2013
LA Clippers,10986550,DeAndre Jordan, C,2012-2013
Detroit Pistons,10924138,Corey Maggette, SF,2012-2013
Brooklyn Nets,10890000,Mehmet Okur, C,2012-2013
Portland Trail Blazers,10850000,Nicolas Batum, SF,2012-2013
Golden State Warriors,10164000,Richard Jefferson, F,2012-2013
San Antonio Spurs,10059750,Stephen Jackson, SF,2012-2013
Denver Nuggets,1.00E+07,JaVale McGee, C,2012-2013
Toronto Raptors,1.00E+07,Andrea Bargnani, C,2012-2013
Indiana Pacers,1.00E+07,David West, F,2012-2013
Minnesota Timberwolves,9779349,Andrei Kirilenko, SF,2012-2013
Brooklyn Nets,9682435,Gerald Wallace, SF,2012-2013
San Antonio Spurs,9638554,Tim Duncan, C,2012-2013
LA Clippers,9500000,Cuttino Mobley, SG,2012-2013
Denver Nuggets,9439000,Danilo Gallinari, SF,2012-2013
Los Angeles Lakers,9300500,Steve Nash, PG,2012-2013
Golden State Warriors,9.00E+06,Andris Biedrins, C,2012-2013
New Orleans Hornets,8700000,Ryan Anderson, PF,2012-2013
Dallas Mavericks,8646364,Shawn Marion, SG,2012-2013
Utah Jazz,8603633,Paul Millsap, PF,2012-2013
Orlando Magic,8600000,Jameer Nelson, G,2012-2013
Utah Jazz,8500000,Mo Williams, PG,2012-2013
Detroit Pistons,8500000,Rodney Stuckey, PG,2012-2013
Atlanta Hawks,8500000,Devin Harris, PG,2012-2013
Oklahoma City Thunder,8477437,Kendrick Perkins, C,2012-2013
Boston Celtics,8385000,Jeff Green, SF,2012-2013
Houston Rockets,8374646,Omer Asik, C,2012-2013
Houston Rockets,8374646,Jeremy Lin, PG,2012-2013
Cleveland Cavaliers,8368182,Anderson Varejao, C,2012-2013
Philadelphia 76ers,8289130,Thaddeus Young, PF,2012-2013
Utah Jazz,8287500,Marvin Williams, PF,2012-2013
Sacramento Kings,8083000,John Salmons, SF,2012-2013
